"Status","Year","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","140660","126600","22460","21050"
"In post","2021","EO","128890","119450","27750","27570"
"In post","2021","G6/G7","62425","60180","58800","57000"
"In post","2021","SCS level","7295","7055","90530","82380"
"In post","2021","SEO/HEO","129035","123945","36790","36030"
"In post","2021","Unknown","16570","15600","32400","31310"
"Leaver CS","2021","AA/AO","11905","[c]","21250","21010"
"Leaver CS","2021","EO","6175","[c]","27390","27570"
"Leaver CS","2021","G6/G7","2500","[c]","60640","58230"
"Leaver CS","2021","SCS level","455","[c]","98160","93000"
"Leaver CS","2021","SEO/HEO","5535","[c]","37130","36480"
"Leaver CS","2021","Unknown","1260","[c]","35820","33770"
"Leaver Dept.","2021","AA/AO","2140","[c]","21080","21010"
"Leaver Dept.","2021","EO","2400","[c]","26860","27570"
"Leaver Dept.","2021","G6/G7","2305","[c]","57100","54870"
"Leaver Dept.","2021","SCS level","345","[c]","87460","79370"
"Leaver Dept.","2021","SEO/HEO","4560","[c]","35130","33960"
"Leaver Dept.","2021","Unknown","225","[c]","45850","37770"
"New entrant CS","2021","AA/AO","20575","[c]","21560","21010"
"New entrant CS","2021","EO","18675","[c]","27620","27570"
"New entrant CS","2021","G6/G7","3765","[c]","57590","54700"
"New entrant CS","2021","SCS level","520","[c]","91980","84000"
"New entrant CS","2021","SEO/HEO","11645","[c]","34780","33570"
"New entrant CS","2021","Unknown","2015","[c]","24890","22920"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","",""
"Version","Generated on 2023-02-14, with GIT 71a76ea.","","","","",""
"Data column","Description","","","","",""
"Status","Employment status of the civil servants.","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","",""
"","Five organisations do not report when their employees first entered the Civil Service and so entrants data for these organisations is not available . These are as follows: Foreign Commonwealth and Development Office (excl. agencies), Foreign Commonwealth and Development Office Services, Defence Electronics and Components Agency, Scottish Forestry and Forest and Land Scotland. A further three organisations also could not provide entrants data in 2021. These are as follows: Department for International Development, Foreign and Commonwealth Office (excl. agencies) and Royal Fleet Auxiliary.","","","","",""
"Year","Year of data collection (as at 31 March).","","","","",""
"Responsibility_level_grouped","With the exception of the centrally managed Senior Civil Service, government departments have delegated pay and grading. For statistical purposes departments are asked to map their grades to a common framework by responsibility level.","","","","",""
"","This table shows staff in their substantive responsibility level unless on temporary promotion in which case staff are recorded at the higher responsibility level.","","","","",""
"","Responsibility_level_grouped combines the mapped grades into five broad responsibility levels. This is the headline measure for responsibility level for the Civil Service and is consistent with the published National Statistics.","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 5).","","","","",""
"FTE","Total full-time equivalent (FTE) employment numbers (rounded to nearest 5).","","","","",""
"","FTE figures are not shown for entrants or leavers due to data quality concerns for these groups.","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","",""
