"Status","Year","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","21370","19765","29550","27570"
"In post","2021","East of England","22595","20985","30770","28130"
"In post","2021","London","101930","98000","43350","37140"
"In post","2021","North East (England)","30610","27500","28180","25560"
"In post","2021","North West (England)","59345","54710","29480","27380"
"In post","2021","Northern Ireland","3815","3590","27990","25560"
"In post","2021","Overseas","3755","3740","49990","49760"
"In post","2021","Scotland","47590","44225","32160","27570"
"In post","2021","South East (England)","41770","38865","31480","28460"
"In post","2021","South West (England)","45185","42455","34280","31220"
"In post","2021","Unknown","3730","3645","35670","32100"
"In post","2021","Wales","36090","33260","30850","27570"
"In post","2021","West Midlands (England)","30495","28275","30190","27570"
"In post","2021","Yorkshire and The Humber","36605","33815","31210","27570"
"Leaver CS","2021","East Midlands (England)","1595","[c]","27110","25390"
"Leaver CS","2021","East of England","1800","[c]","30180","26670"
"Leaver CS","2021","London","5320","[c]","41220","33300"
"Leaver CS","2021","North East (England)","1680","[c]","26690","21050"
"Leaver CS","2021","North West (England)","2765","[c]","28080","24310"
"Leaver CS","2021","Northern Ireland","205","[c]","27470","21850"
"Leaver CS","2021","Overseas","135","[c]","42070","38290"
"Leaver CS","2021","Scotland","2335","[c]","32270","27570"
"Leaver CS","2021","South East (England)","2685","[c]","29840","26670"
"Leaver CS","2021","South West (England)","2460","[c]","32150","27570"
"Leaver CS","2021","Unknown","695","[c]","40470","32000"
"Leaver CS","2021","Wales","1965","[c]","29190","22490"
"Leaver CS","2021","West Midlands (England)","1870","[c]","29950","25850"
"Leaver CS","2021","Yorkshire and The Humber","2325","[c]","30160","26890"
"Leaver Dept.","2021","East Midlands (England)","270","[c]","26770","21950"
"Leaver Dept.","2021","East of England","200","[c]","32470","29670"
"Leaver Dept.","2021","London","5340","[c]","44190","39000"
"Leaver Dept.","2021","North East (England)","605","[c]","27550","25180"
"Leaver Dept.","2021","North West (England)","1075","[c]","29370","26890"
"Leaver Dept.","2021","Northern Ireland","50","[c]","31960","25040"
"Leaver Dept.","2021","Overseas","120","[c]","50990","52500"
"Leaver Dept.","2021","Scotland","610","[c]","30530","27570"
"Leaver Dept.","2021","South East (England)","425","[c]","32420","28850"
"Leaver Dept.","2021","South West (England)","810","[c]","34540","31860"
"Leaver Dept.","2021","Unknown","705","[c]","35580","32000"
"Leaver Dept.","2021","Wales","585","[c]","32040","27570"
"Leaver Dept.","2021","West Midlands (England)","540","[c]","28370","24250"
"Leaver Dept.","2021","Yorkshire and The Humber","635","[c]","33650","30170"
"New entrant CS","2021","East Midlands (England)","2475","[c]","26280","25560"
"New entrant CS","2021","East of England","3020","[c]","27050","27570"
"New entrant CS","2021","London","15110","[c]","35620","31060"
"New entrant CS","2021","North East (England)","3265","[c]","24590","21010"
"New entrant CS","2021","North West (England)","6025","[c]","26640","24240"
"New entrant CS","2021","Northern Ireland","355","[c]","24170","20140"
"New entrant CS","2021","Overseas","40","[c]","37810","33000"
"New entrant CS","2021","Scotland","4490","[c]","27520","24880"
"New entrant CS","2021","South East (England)","5625","[c]","27880","27570"
"New entrant CS","2021","South West (England)","4970","[c]","28860","27540"
"New entrant CS","2021","Unknown","895","[c]","32720","27570"
"New entrant CS","2021","Wales","2950","[c]","25890","22850"
"New entrant CS","2021","West Midlands (England)","3455","[c]","27520","25000"
"New entrant CS","2021","Yorkshire and The Humber","4515","[c]","27700","26130"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","",""
"Version","Generated on 2023-02-14, with GIT 71a76ea.","","","","",""
"Data column","Description","","","","",""
"Status","Employment status of the civil servants.","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","",""
"","Five organisations do not report when their employees first entered the Civil Service and so entrants data for these organisations is not available . These are as follows: Foreign Commonwealth and Development Office (excl. agencies), Foreign Commonwealth and Development Office Services, Defence Electronics and Components Agency, Scottish Forestry and Forest and Land Scotland. A further three organisations also could not provide entrants data in 2021. These are as follows: Department for International Development, Foreign and Commonwealth Office (excl. agencies) and Royal Fleet Auxiliary.","","","","",""
"Year","Year of data collection (as at 31 March).","","","","",""
"Region_ITL1","Workplace postcode data are used to derive geographical information using the International Territorial Level (ITL) classification standard.","","","","",""
"","Following the UK's withdrawal from the EU, a new UK-managed international statistical geography - International Territorial Levels (ITL) - was introduced from 1st January 2021, replacing the former NUTS classification. They align with international standards, enabling comparability both over time and internationally. To ensure continued alignment, the ITLs mirror the NUTS system. They also follow a similar review timetable - every three years.","","","","",""
"","ITL 1 divides into Wales, Scotland, Northern Ireland, and the 9 statistical regions of England.","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 5).","","","","",""
"FTE","Total full-time equivalent (FTE) employment numbers (rounded to nearest 5).","","","","",""
"","FTE figures are not shown for entrants or leavers due to data quality concerns for these groups.","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","",""
