"Status","Year","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Female","283705","259000","34880","30320"
"In post","2023","Male","236060","228655","37610","33350"
"In post","2023","Unknown","15","15","[c]","[c]"
"Leaver CS","2023","Female","24490","[c]","32910","28120"
"Leaver CS","2023","Male","21590","[c]","36470","30810"
"Leaver Dept.","2023","Female","8720","[c]","36590","32410"
"Leaver Dept.","2023","Male","6645","[c]","38670","33790"
"New entrant CS","2023","Female","30725","[c]","29160","25750"
"New entrant CS","2023","Male","26030","[c]","30940","27650"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","",""
"Version","Generated on 2023-07-26, with GIT d545f65.","","","","",""
"Data column","Description","","","","",""
"Status","Employment status of the civil servants.","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","",""
"","Four organisations do not report when their employees first entered the Civil Service and so entrants data for these organisations is not available . These are as follows: Foreign Commonwealth and Development Office (excl. agencies), Foreign Commonwealth and Development Office Services, Scottish Forestry and Forest and Land Scotland. A further three organisations also could not provide entrants data in 2021. These are as follows: Department for International Development, Foreign and Commonwealth Office (excl. agencies) and Royal Fleet Auxiliary.","","","","",""
"Year","Year of data collection (as at 31 March).","","","","",""
"Sex","Self reported sex.","","","","",""
"","""Unknown"" accounts for employees who were recorded with an unknown sex.","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 5).","","","","",""
"FTE","Total full-time equivalent (FTE) employment numbers (rounded to nearest 5).","","","","",""
"","FTE figures are not shown for entrants or leavers due to data quality concerns for these groups.","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","",""
