"Status","Year","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","1275","1235","21790","21250"
"In post","2022","20-29","84575","83425","29750","27570"
"In post","2022","30-39","111530","106295","35120","31230"
"In post","2022","40-49","116495","109380","37230","31990"
"In post","2022","50-59","143040","134425","35530","30810"
"In post","2022","60-64","40565","33625","32240","27570"
"In post","2022","65+","12580","9690","31200","27530"
"In post","2022","Unknown","20","15","26940","27570"
"Leaver CS","2022","16-19","195","[c]","20900","21050"
"Leaver CS","2022","20-29","10690","[c]","26590","24920"
"Leaver CS","2022","30-39","8075","[c]","34100","30020"
"Leaver CS","2022","40-49","5920","[c]","37640","31020"
"Leaver CS","2022","50-59","8205","[c]","36490","29050"
"Leaver CS","2022","60-64","6250","[c]","36020","29530"
"Leaver CS","2022","65+","4845","[c]","30520","26930"
"Leaver CS","2022","Unknown","35","[c]","[c]","[c]"
"Leaver Dept.","2022","16-19","25","[c]","21760","22350"
"Leaver Dept.","2022","20-29","7170","[c]","30720","29230"
"Leaver Dept.","2022","30-39","6795","[c]","37980","34000"
"Leaver Dept.","2022","40-49","5185","[c]","43270","38670"
"Leaver Dept.","2022","50-59","3615","[c]","45010","37610"
"Leaver Dept.","2022","60-64","635","[c]","50470","39810"
"Leaver Dept.","2022","65+","220","[c]","48840","38170"
"Leaver Dept.","2022","Unknown","10","[c]","[c]","[c]"
"New entrant CS","2022","16-19","1015","[c]","21740","21260"
"New entrant CS","2022","20-29","27975","[c]","26670","25120"
"New entrant CS","2022","30-39","17070","[c]","30950","27570"
"New entrant CS","2022","40-49","11445","[c]","33370","28000"
"New entrant CS","2022","50-59","9290","[c]","32210","27570"
"New entrant CS","2022","60-64","2025","[c]","30520","27570"
"New entrant CS","2022","65+","575","[c]","31590","28200"
"New entrant CS","2022","Unknown","[c]","[c]","[c]","[c]"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","",""
"Version","Generated on 2023-02-14, with GIT 71a76ea.","","","","",""
"Data column","Description","","","","",""
"Status","Employment status of the civil servants.","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","",""
"","Five organisations do not report when their employees first entered the Civil Service and so entrants data for these organisations is not available . These are as follows: Foreign Commonwealth and Development Office (excl. agencies), Foreign Commonwealth and Development Office Services, Defence Electronics and Components Agency, Scottish Forestry and Forest and Land Scotland. A further three organisations also could not provide entrants data in 2021. These are as follows: Department for International Development, Foreign and Commonwealth Office (excl. agencies) and Royal Fleet Auxiliary.","","","","",""
"","Organisation specific notes on status: In late June 2021 around 7,000 employees from Community Rehabilitation Companies were transferred in from the private sector to HM Prison and Probation Service, counting as entrants. HM Land Registry do not record where their departing employees transfer to and so are unable to identify those that transfer to another Civil Service department.","","","","",""
"Year","Year of data collection (as at 31 March).","","","","",""
"Age","Age in 10 year bands. Age is calculated as at the reference date in each year (31st March), so entrants or leavers may have been up to one year younger at the date of exit or entry.","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 5).","","","","",""
"FTE","Total full-time equivalent (FTE) employment numbers (rounded to nearest 5).","","","","",""
"","FTE figures are not shown for entrants or leavers due to data quality concerns for these groups.","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","",""
