"Status","Year","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","1445","1400","23300","22520"
"In post","2023","20-29","85135","83945","31270","28880"
"In post","2023","30-39","116330","111185","36880","33520"
"In post","2023","40-49","118380","111445","39010","34170"
"In post","2023","50-59","141600","133310","37230","32500"
"In post","2023","60-64","42990","35695","33700","28130"
"In post","2023","65+","13865","10655","32390","28120"
"In post","2023","Unknown","35","30","38910","34390"
"Leaver CS","2023","16-19","180","[c]","21330","21780"
"Leaver CS","2023","20-29","11440","[c]","28630","26900"
"Leaver CS","2023","30-39","9195","[c]","36740","32520"
"Leaver CS","2023","40-49","6515","[c]","39640","32330"
"Leaver CS","2023","50-59","8160","[c]","37060","29290"
"Leaver CS","2023","60-64","5810","[c]","36340","29290"
"Leaver CS","2023","65+","4625","[c]","31280","27460"
"Leaver CS","2023","Unknown","160","[c]","[c]","[c]"
"Leaver Dept.","2023","16-19","10","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","5180","[c]","32550","32000"
"Leaver Dept.","2023","30-39","4800","[c]","39290","35510"
"Leaver Dept.","2023","40-49","3055","[c]","41310","35350"
"Leaver Dept.","2023","50-59","1980","[c]","40180","32700"
"Leaver Dept.","2023","60-64","240","[c]","34920","28120"
"Leaver Dept.","2023","65+","40","[c]","36460","29170"
"Leaver Dept.","2023","Unknown","55","[c]","[c]","[c]"
"New entrant CS","2023","16-19","1180","[c]","23220","22520"
"New entrant CS","2023","20-29","23010","[c]","27150","25750"
"New entrant CS","2023","30-39","13890","[c]","31400","28120"
"New entrant CS","2023","40-49","9265","[c]","33570","28480"
"New entrant CS","2023","50-59","7340","[c]","32480","26780"
"New entrant CS","2023","60-64","1535","[c]","30360","25100"
"New entrant CS","2023","65+","420","[c]","32010","24070"
"New entrant CS","2023","Unknown","120","[c]","[c]","[c]"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","",""
"Version","Generated on 2023-07-26, with GIT d545f65.","","","","",""
"Data column","Description","","","","",""
"Status","Employment status of the civil servants.","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","",""
"","Four organisations do not report when their employees first entered the Civil Service and so entrants data for these organisations is not available . These are as follows: Foreign Commonwealth and Development Office (excl. agencies), Foreign Commonwealth and Development Office Services, Scottish Forestry and Forest and Land Scotland. A further three organisations also could not provide entrants data in 2021. These are as follows: Department for International Development, Foreign and Commonwealth Office (excl. agencies) and Royal Fleet Auxiliary.","","","","",""
"Year","Year of data collection (as at 31 March).","","","","",""
"Age","Age in 10 year bands. Age is calculated as at the reference date in each year (31st March), so entrants or leavers may have been up to one year younger at the date of exit or entry.","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 5).","","","","",""
"FTE","Total full-time equivalent (FTE) employment numbers (rounded to nearest 5).","","","","",""
"","FTE figures are not shown for entrants or leavers due to data quality concerns for these groups.","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","",""
