"Status","Year","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","London","101930","98000","43350","37140"
"In post","2021","Outside London","375470","347445","30940","27570"
"In post","2021","Overseas","3755","3740","49990","49760"
"In post","2021","Unknown","3730","3645","35670","32100"
"Leaver CS","2021","London","5320","[c]","41220","33300"
"Leaver CS","2021","Outside London","21680","[c]","29890","26300"
"Leaver CS","2021","Overseas","135","[c]","42070","38290"
"Leaver CS","2021","Unknown","695","[c]","40470","32000"
"Leaver Dept.","2021","London","5340","[c]","44190","39000"
"Leaver Dept.","2021","Outside London","5815","[c]","31140","27570"
"Leaver Dept.","2021","Overseas","120","[c]","50990","52500"
"Leaver Dept.","2021","Unknown","705","[c]","35580","32000"
"New entrant CS","2021","London","15110","[c]","35620","31060"
"New entrant CS","2021","Outside London","41145","[c]","27140","25380"
"New entrant CS","2021","Overseas","40","[c]","37810","33000"
"New entrant CS","2021","Unknown","895","[c]","32720","27570"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","",""
"Version","Generated on 2023-02-14, with GIT 71a76ea.","","","","",""
"Data column","Description","","","","",""
"Status","Employment status of the civil servants.","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","",""
"","Five organisations do not report when their employees first entered the Civil Service and so entrants data for these organisations is not available . These are as follows: Foreign Commonwealth and Development Office (excl. agencies), Foreign Commonwealth and Development Office Services, Defence Electronics and Components Agency, Scottish Forestry and Forest and Land Scotland. A further three organisations also could not provide entrants data in 2021. These are as follows: Department for International Development, Foreign and Commonwealth Office (excl. agencies) and Royal Fleet Auxiliary.","","","","",""
"Year","Year of data collection (as at 31 March).","","","","",""
"Region_london","Workplace postcode data are used to derive geographical information using the International Territorial Level (ITL) classification standard.","","","","",""
"","Region_london groups the ITL classifications into ""London"", ""Outside London"": all UK regions excluding London, ""Overseas"", and ""Unknown"".","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 5).","","","","",""
"FTE","Total full-time equivalent (FTE) employment numbers (rounded to nearest 5).","","","","",""
"","FTE figures are not shown for entrants or leavers due to data quality concerns for these groups.","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","",""
