"Status","Year","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","29155","27185","32650","29080"
"In post","2021","Black","15595","14965","32760","30690"
"In post","2021","Chinese","1250","1195","36810","32300"
"In post","2021","Mixed","8265","7865","35220","31060"
"In post","2021","Other ethnicity","2590","2455","36900","31790"
"In post","2021","Undeclared","20550","19165","34520","31060"
"In post","2021","Unknown","67075","63740","32740","28000"
"In post","2021","White","340395","316260","33930","29040"
"Leaver CS","2021","Asian","1185","[c]","30800","26960"
"Leaver CS","2021","Black","600","[c]","31400","26890"
"Leaver CS","2021","Chinese","55","[c]","37890","30940"
"Leaver CS","2021","Mixed","395","[c]","31990","27570"
"Leaver CS","2021","Other ethnicity","135","[c]","37790","31880"
"Leaver CS","2021","Undeclared","1330","[c]","32180","27570"
"Leaver CS","2021","Unknown","6550","[c]","32310","27570"
"Leaver CS","2021","White","17575","[c]","32930","27570"
"Leaver Dept.","2021","Asian","965","[c]","34870","31180"
"Leaver Dept.","2021","Black","485","[c]","34050","31180"
"Leaver Dept.","2021","Chinese","30","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","325","[c]","38960","33570"
"Leaver Dept.","2021","Other ethnicity","75","[c]","35080","32730"
"Leaver Dept.","2021","Undeclared","435","[c]","37640","33700"
"Leaver Dept.","2021","Unknown","3180","[c]","37650","32750"
"Leaver Dept.","2021","White","6490","[c]","38260","32830"
"New entrant CS","2021","Asian","4105","[c]","30030","27570"
"New entrant CS","2021","Black","2650","[c]","29940","29290"
"New entrant CS","2021","Chinese","130","[c]","31930","29290"
"New entrant CS","2021","Mixed","1540","[c]","29760","27570"
"New entrant CS","2021","Other ethnicity","385","[c]","31230","29290"
"New entrant CS","2021","Undeclared","985","[c]","30850","27570"
"New entrant CS","2021","Unknown","16820","[c]","29470","25560"
"New entrant CS","2021","White","30580","[c]","29260","27570"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","",""
"Version","Generated on 2023-02-14, with GIT 71a76ea.","","","","",""
"Data column","Description","","","","",""
"Status","Employment status of the civil servants.","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","",""
"","Five organisations do not report when their employees first entered the Civil Service and so entrants data for these organisations is not available . These are as follows: Foreign Commonwealth and Development Office (excl. agencies), Foreign Commonwealth and Development Office Services, Defence Electronics and Components Agency, Scottish Forestry and Forest and Land Scotland. A further three organisations also could not provide entrants data in 2021. These are as follows: Department for International Development, Foreign and Commonwealth Office (excl. agencies) and Royal Fleet Auxiliary.","","","","",""
"Year","Year of data collection (as at 31 March).","","","","",""
"Ethnicity","Self reported ethnicity. ""Undeclared"" accounts for employees who have actively declared that they do not want to disclose their ethnicity and ""Unknown"" accounts for employees who have not made an active declaration about their ethnicity.","","","","",""
"","For consistency with Civil Service Statistics, 'Chinese' is shown separately in the 2021 figures, but counted within 'Asian' from 2022 onwards.","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 5).","","","","",""
"FTE","Total full-time equivalent (FTE) employment numbers (rounded to nearest 5).","","","","",""
"","FTE figures are not shown for entrants or leavers due to data quality concerns for these groups.","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","",""
