"Status","Year","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","33650","31575","33520","29500"
"In post","2022","Black","17080","16410","33380","31060"
"In post","2022","Mixed","9170","8750","35750","31170"
"In post","2022","Other ethnicity","2650","2525","36790","31880"
"In post","2022","Undeclared","20205","18845","35350","31650"
"In post","2022","Unknown","72495","69005","33530","28650"
"In post","2022","White","354825","330975","34700","30130"
"Leaver CS","2022","Asian","2410","[c]","33370","28590"
"Leaver CS","2022","Black","1455","[c]","32440","30460"
"Leaver CS","2022","Mixed","880","[c]","32170","27570"
"Leaver CS","2022","Other ethnicity","275","[c]","35030","31060"
"Leaver CS","2022","Undeclared","1790","[c]","34060","29470"
"Leaver CS","2022","Unknown","9285","[c]","32280","27570"
"Leaver CS","2022","White","28120","[c]","33400","27570"
"Leaver Dept.","2022","Asian","2430","[c]","36380","31060"
"Leaver Dept.","2022","Black","1240","[c]","36180","31630"
"Leaver Dept.","2022","Mixed","640","[c]","37270","33270"
"Leaver Dept.","2022","Other ethnicity","195","[c]","40880","33850"
"Leaver Dept.","2022","Undeclared","1075","[c]","41300","36650"
"Leaver Dept.","2022","Unknown","4315","[c]","37100","32000"
"Leaver Dept.","2022","White","13770","[c]","39330","33570"
"New entrant CS","2022","Asian","5115","[c]","29720","27570"
"New entrant CS","2022","Black","2715","[c]","30250","28200"
"New entrant CS","2022","Mixed","1635","[c]","29780","27570"
"New entrant CS","2022","Other ethnicity","420","[c]","29910","27570"
"New entrant CS","2022","Undeclared","985","[c]","32130","28200"
"New entrant CS","2022","Unknown","21605","[c]","29040","26140"
"New entrant CS","2022","White","36925","[c]","29870","26880"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","",""
"Version","Generated on 2023-02-14, with GIT 71a76ea.","","","","",""
"Data column","Description","","","","",""
"Status","Employment status of the civil servants.","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","",""
"","Five organisations do not report when their employees first entered the Civil Service and so entrants data for these organisations is not available . These are as follows: Foreign Commonwealth and Development Office (excl. agencies), Foreign Commonwealth and Development Office Services, Defence Electronics and Components Agency, Scottish Forestry and Forest and Land Scotland. A further three organisations also could not provide entrants data in 2021. These are as follows: Department for International Development, Foreign and Commonwealth Office (excl. agencies) and Royal Fleet Auxiliary.","","","","",""
"","Organisation specific notes on status: In late June 2021 around 7,000 employees from Community Rehabilitation Companies were transferred in from the private sector to HM Prison and Probation Service, counting as entrants. HM Land Registry do not record where their departing employees transfer to and so are unable to identify those that transfer to another Civil Service department.","","","","",""
"Year","Year of data collection (as at 31 March).","","","","",""
"Ethnicity","Self reported ethnicity. ""Undeclared"" accounts for employees who have actively declared that they do not want to disclose their ethnicity and ""Unknown"" accounts for employees who have not made an active declaration about their ethnicity.","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 5).","","","","",""
"FTE","Total full-time equivalent (FTE) employment numbers (rounded to nearest 5).","","","","",""
"","FTE figures are not shown for entrants or leavers due to data quality concerns for these groups.","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","",""
