"Status","Year","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Heterosexual / straight","349195","327735","36620","32310"
"In post","2023","LGBO","23770","23100","36570","32410"
"In post","2023","Undeclared","41475","38405","36440","32520"
"In post","2023","Unknown","105345","98420","34230","29160"
"Leaver CS","2023","Heterosexual / straight","25725","[c]","34810","28870"
"Leaver CS","2023","LGBO","2210","[c]","34910","29500"
"Leaver CS","2023","Undeclared","3355","[c]","34700","29500"
"Leaver CS","2023","Unknown","14790","[c]","33860","28120"
"Leaver Dept.","2023","Heterosexual / straight","8945","[c]","37550","32800"
"Leaver Dept.","2023","LGBO","945","[c]","37080","33210"
"Leaver Dept.","2023","Undeclared","1085","[c]","38360","34260"
"Leaver Dept.","2023","Unknown","4390","[c]","37130","32520"
"New entrant CS","2023","Heterosexual / straight","28375","[c]","30830","27650"
"New entrant CS","2023","LGBO","3320","[c]","29590","26900"
"New entrant CS","2023","Undeclared","2180","[c]","32000","28510"
"New entrant CS","2023","Unknown","22880","[c]","28750","25750"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","",""
"Version","Generated on 2023-07-26, with GIT d545f65.","","","","",""
"Data column","Description","","","","",""
"Status","Employment status of the civil servants.","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","",""
"","Four organisations do not report when their employees first entered the Civil Service and so entrants data for these organisations is not available . These are as follows: Foreign Commonwealth and Development Office (excl. agencies), Foreign Commonwealth and Development Office Services, Scottish Forestry and Forest and Land Scotland. A further three organisations also could not provide entrants data in 2021. These are as follows: Department for International Development, Foreign and Commonwealth Office (excl. agencies) and Royal Fleet Auxiliary.","","","","",""
"Year","Year of data collection (as at 31 March).","","","","",""
"Sexual_orientation","Self reported sexual orientation.","","","","",""
"","""Undeclared"" accounts for employees who have actively declared that they do not want to disclose their sexual orientation and ""Unknown"" accounts for employees who have not made an active declaration about their sexual orientation.","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 5).","","","","",""
"FTE","Total full-time equivalent (FTE) employment numbers (rounded to nearest 5).","","","","",""
"","FTE figures are not shown for entrants or leavers due to data quality concerns for these groups.","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","",""
