"Status","Year","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","8455","8140","43590","38340"
"In post","2022","Commercial","6615","6435","47430","40980"
"In post","2022","Communications","8540","8265","36050","33080"
"In post","2022","Counter Fraud","17025","15750","32530","29290"
"In post","2022","Debt","6820","6050","23790","21260"
"In post","2022","Digital, Data & Technology","22055","21430","41420","38180"
"In post","2022","Finance","12375","11730","39340","35310"
"In post","2022","Grants Management","2320","2130","25200","21300"
"In post","2022","Human Resources","11720","11105","37700","33300"
"In post","2022","Internal Audit","765","730","46200","43300"
"In post","2022","Legal","12405","11570","46750","48830"
"In post","2022","No function","274525","254050","31890","27570"
"In post","2022","Project Delivery","26565","25520","42170","40000"
"In post","2022","Property","9545","9145","36720","33300"
"In post","2022","Security","10690","10435","32900","31180"
"In post","2022","Unknown","79660","75595","34930","30040"
"Leaver CS","2022","Analysis","545","[c]","37080","33210"
"Leaver CS","2022","Commercial","515","[c]","52600","42670"
"Leaver CS","2022","Communications","415","[c]","41110","37520"
"Leaver CS","2022","Counter Fraud","345","[c]","29410","27570"
"Leaver CS","2022","Debt","225","[c]","22500","21260"
"Leaver CS","2022","Digital, Data & Technology","1405","[c]","41510","38090"
"Leaver CS","2022","Finance","510","[c]","39730","35310"
"Leaver CS","2022","Grants Management","160","[c]","24300","21300"
"Leaver CS","2022","Human Resources","665","[c]","35540","31290"
"Leaver CS","2022","Internal Audit","55","[c]","37700","33630"
"Leaver CS","2022","Legal","745","[c]","46440","50500"
"Leaver CS","2022","No function","24455","[c]","31430","27570"
"Leaver CS","2022","Project Delivery","1300","[c]","39290","36320"
"Leaver CS","2022","Property","610","[c]","32520","26720"
"Leaver CS","2022","Security","815","[c]","32030","29190"
"Leaver CS","2022","Unknown","11455","[c]","31700","27570"
"Leaver Dept.","2022","Analysis","540","[c]","41270","37920"
"Leaver Dept.","2022","Commercial","460","[c]","44490","40600"
"Leaver Dept.","2022","Communications","475","[c]","42120","37300"
"Leaver Dept.","2022","Counter Fraud","150","[c]","31600","27570"
"Leaver Dept.","2022","Debt","60","[c]","23200","21260"
"Leaver Dept.","2022","Digital, Data & Technology","780","[c]","41980","37910"
"Leaver Dept.","2022","Finance","595","[c]","41540","37530"
"Leaver Dept.","2022","Grants Management","60","[c]","24620","21300"
"Leaver Dept.","2022","Human Resources","750","[c]","38020","32330"
"Leaver Dept.","2022","Internal Audit","15","[c]","45890","39630"
"Leaver Dept.","2022","Legal","230","[c]","44480","39120"
"Leaver Dept.","2022","No function","14780","[c]","38560","32330"
"Leaver Dept.","2022","Project Delivery","685","[c]","40010","36840"
"Leaver Dept.","2022","Property","175","[c]","36950","32540"
"Leaver Dept.","2022","Security","160","[c]","36820","33300"
"Leaver Dept.","2022","Unknown","3740","[c]","35660","30250"
"New entrant CS","2022","Analysis","1485","[c]","33740","30710"
"New entrant CS","2022","Commercial","1000","[c]","42560","35000"
"New entrant CS","2022","Communications","1510","[c]","30780","26590"
"New entrant CS","2022","Counter Fraud","1595","[c]","27200","26590"
"New entrant CS","2022","Debt","1025","[c]","21650","21250"
"New entrant CS","2022","Digital, Data & Technology","2895","[c]","37540","33840"
"New entrant CS","2022","Finance","1175","[c]","33930","30750"
"New entrant CS","2022","Grants Management","525","[c]","21680","21300"
"New entrant CS","2022","Human Resources","1355","[c]","32590","28000"
"New entrant CS","2022","Internal Audit","55","[c]","41780","41720"
"New entrant CS","2022","Legal","1255","[c]","36580","30750"
"New entrant CS","2022","No function","41900","[c]","28080","26130"
"New entrant CS","2022","Project Delivery","2005","[c]","35200","33000"
"New entrant CS","2022","Property","1115","[c]","32400","26350"
"New entrant CS","2022","Security","875","[c]","28900","25540"
"New entrant CS","2022","Unknown","9640","[c]","30300","27230"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","",""
"Version","Generated on 2023-02-14, with GIT 71a76ea.","","","","",""
"Data column","Description","","","","",""
"Status","Employment status of the civil servants.","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","",""
"","Five organisations do not report when their employees first entered the Civil Service and so entrants data for these organisations is not available . These are as follows: Foreign Commonwealth and Development Office (excl. agencies), Foreign Commonwealth and Development Office Services, Defence Electronics and Components Agency, Scottish Forestry and Forest and Land Scotland. A further three organisations also could not provide entrants data in 2021. These are as follows: Department for International Development, Foreign and Commonwealth Office (excl. agencies) and Royal Fleet Auxiliary.","","","","",""
"","Organisation specific notes on status: In late June 2021 around 7,000 employees from Community Rehabilitation Companies were transferred in from the private sector to HM Prison and Probation Service, counting as entrants. HM Land Registry do not record where their departing employees transfer to and so are unable to identify those that transfer to another Civil Service department.","","","","",""
"Year","Year of data collection (as at 31 March).","","","","",""
"Function_of_post","Functions relate to the post occupied by the person and are not dependent on qualifications the individual may have.","","","","",""
"","Home Office, Welsh Government and Royal Fleet Auxiliary did not report any functions information for their employees.","","","","",""
"","Of the 20 bodies under the Scottish Government, 16 did not report any functions information for their employees.","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 5).","","","","",""
"FTE","Total full-time equivalent (FTE) employment numbers (rounded to nearest 5).","","","","",""
"","FTE figures are not shown for entrants or leavers due to data quality concerns for these groups.","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","",""
